,Rank,Airport,Location,Country,Code (IATA/ICAO),Total passengers,Rank change,% change,IATA
0,1.0,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,"108,067,766[4]",0.0,3.3%,ATL
1,2.0,Dubai International Airport,"Garhoud, Dubai, Dubai",United Arab Emirates,DXB/OMDB,"92,300,000[5]",0.0,6.2%,DXB
2,3.0,Dallas Fort Worth International Airport,"Dallas–Fort Worth, Texas",United States,DFW/KDFW,"87,817,864[6]",0.0,7.4%,DFW
3,4.0,Tokyo Haneda Airport,"Ōta, Tokyo",Japan,HND/RJTT,"85,000,000[7]",1.0,8.0%,HND
4,5.0,Heathrow Airport,"Hillingdon, London",United Kingdom,LHR/EGLL,"83,882,140[8]",1.0,5.9%,LHR
5,6.0,Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,"82,358,744[9]",0.0,5.8%,DEN
6,7.0,O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,"80,043,050[10]",2.0,8.6%,ORD
7,8.0,Istanbul Airport,"Arnavutköy, Istanbul",Turkey,IST/LTFM,"79,988,272[11]",1.0,3.9%,IST
8,9.0,Indira Gandhi International Airport,"Palam, Delhi",India,DEL/VIDP,"77,820,834[12]",1.0,7.8%,DEL
9,10.0,Shanghai Pudong International Airport,"Pudong, Shanghai",China,PVG/ZSPD,"76,787,039[13]",11.0,41.0%,PVG
10,11.0,Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,"76,587,980[14]",3.0,2.0%,LAX
11,12.0,Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN/ZGGG,"76,364,767[13]",0.0,20.9%,CAN
12,13.0,Seoul Incheon International Airport,"Jung District, Incheon",South Korea,ICN/RKSI,"70,669,246[15]",7.0,26.7%,ICN
13,14.0,Charles de Gaulle Airport,"Roissy-en-France, Île-de-France",France,CDG/LFPG,"70,290,260[16]",3.0,4.3%,CDG
14,15.0,Singapore Changi Airport,"Changi, East Region",Singapore,SIN/WSSS,"67,700,000[17]",2.0,14.8%,SIN
15,16.0,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,PEK/ZBAA,"67,367,428[13]",7.0,27.4%,PEK
16,17.0,Amsterdam Airport Schiphol,"Haarlemmermeer, North Holland",Netherlands,AMS/EHAM,"66,828,453[18]",3.0,8.0%,AMS
17,18.0,Adolfo Suárez Madrid–Barajas Airport,"Community of Madrid, Barajas",Spain,MAD/LEMD,"66,196,984[19]",3.0,9.9%,MAD
18,19.0,John F. Kennedy International Airport,"Queens, New York, New York",United States,JFK/KJFK,"63,265,984[20]",6.0,1.9%,JFK
19,20.0,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,SZX/ZGSZ,"61,477,337[13]",4.0,16.6%,SZX
20,21.0,Suvarnabhumi Airport,"Racha Thewa, Bangkok metro",Thailand,BKK/VTBS,"59,999,324[21]",5.0,16.1%,BKK
21,22.0,Frankfurt Airport,"Frankfurt, Hesse",Germany,FRA/EDDF,"59,359,539[22]",6.0,3.7%,FRA
22,23.0,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,CLT/KCLT,"58,811,725[23]",1.0,10.0%,CLT
23,24.0,Harry Reid International Airport,"Las Vegas, Nevada",United States,LAS/KLAS,"58,447,782[24]",5.0,1.4%,LAS
24,25.0,Orlando International Airport,"Orlando, Florida",United States,MCO/KMCO,"57,211,628[25]",7.0,.9%,MCO
25,26.0,Kuala Lumpur International Airport,"Sepang, Selangor",Malaysia,KUL/WMKK,"57,044,869[26]",9.0,20.7%,KUL
26,27.0,Miami International Airport,"Miami-Dade County, Florida",United States,MIA/KMIA,"55,926,566[27]",2.0,6.8%,MIA
27,28.0,Josep Tarradellas Barcelona–El Prat Airport,"Catalonia, El Prat de Llobregat",Spain,BCN/LEBL,"55,034,955[19]",2.0,10.3%,BCN
28,29.0,Chengdu Tianfu International Airport,"Jianyang, Chengdu, Sichuan",China,TFU/ZUTF,"54,905,784[13]",10.0,22.6%,TFU
29,30.0,Soekarno–Hatta International Airport,"Tangerang, Banten",Indonesia,CGK/WIII,"54,809,500[28]",2.0,11.7.%,CGK
30,31.0,Chhatrapati Shivaji Maharaj International Airport,"Santacruz-Sahar, Mumbai, Maharashtra",India,BOM/VABB,"54,800,000[12]",4.0,6.3%,BOM
31,32.0,Hong Kong International Airport,"Chek Lap Kok, New Territories",Hong Kong,HKG/VHHH,"53,100,000[29]",0.0,34.3%,HKG
32,33.0,Hamad International Airport,Doha,Qatar,DOH/OTHH,"52,700,000[30]",4.0,14.8%,DOH
33,34.0,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,SEA/KSEA,"52,640,716[31]",6.0,3.4%,SEA
34,35.0,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,PHX/KPHX,"52,325,266[32]",2.0,17.9%,PHX
35,36.0,San Francisco International Airport,"San Mateo County, California",United States,SFO/KSFO,"52,288,098[33]",7.0,4.1%,SFO
36,37.0,Ninoy Aquino International Airport,"Pasay/Parañaque, Metro Manila",Philippines,MNL/RPLL,"50,100,000[34]",1.0,10.4%,MNL
37,38.0,Beijing Daxing International Airport,"Daxing District, Beijing",China,PKX/ZBAD,"49,441,029[13]",14.0,25.5%,PKX
38,39.0,Leonardo da Vinci Rome Fiumicino Airport,"Fiumicino, Metropolitan City of Rome, Lazio",Italy,FCO/LIRF,"49,203,734[35]",0.0,21.4%,FCO
39,40.0,King Abdulaziz International Airport,Jeddah,Saudi Arabia,JED/OEJN,"49,100,000[36]",2.0,15.0%,JED
40,41.0,Newark Liberty International Airport,"Newark, New Jersey",United States,EWR/KEWR,"48,853,370[20]",10.0,.5%,EWR
41,42.0,Chongqing Jiangbei International Airport,Chongqing,China,CKG/ZUCK,"48,676,973[13]",1.0,9.0%,CKG
42,43.0,George Bush Intercontinental Airport,"Houston, Texas",United States,IAH/KIAH,"48,448,545[37]",7.0,4.8%,IAH
43,44.0,Hangzhou Xiaoshan International Airport,"Hangzhou, Zhejiang",China,HGH/ZSHC,"48,053,915[13]",3.0,16.7%,HGH
44,45.0,Shanghai Hongqiao International Airport,Shanghai,China,SHA/ZSSS,"47,944,067[13]",2.0,12.8%,SHA
45,46.0,Kunming Changshui International Airport,"Kunming, Yunnan",China,KMG/ZPPP,"47,178,347[13]",2.0,12.2%,KMG
46,47.0,Xi'an Xianyang International Airport,"Xi'an, Shaanxi",China,XIY/ZLXY,"47,030,407[13]",2.0,13.7%,XIY
47,48.0,Toronto Pearson International Airport,"Mississauga, Ontario",Canada,YYZ/CYYZ,"46,800,000[38]",8.0,4.4%,YYZ
48,49.0,El Dorado International Airport,Bogotá,Colombia,BOG/SKBO,"45,802,360[39]",0.0,16.0%,BOG
49,50.0,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,MEX/MMMX,"45,359,500[40]",16.0,6.2%,MEX
